Servo1,Servo2,Servo3,Servo4,Step
125.872141214569,128.775448858115,180,28.6498950070701,1
125.691047244682,128.654509230985,180,28.489031153807,2
125.394797129642,128.459761492874,180,28.2291563477106,3
125.092961792244,128.265235270947,180,27.9684818685783,4
124.857175851235,128.115951792354,180,27.7676779182791,5
124.643360511732,127.982572962103,180,27.5876899115368,6
124.42843669374,127.850377214707,180,27.4087664722765,7
124.212401949146,127.719365606593,180,27.2309043783173,8
123.995253832609,127.589536089226,180,27.054104987758,9
123.776990001453,127.460886673919,180,26.878369840294,10
123.5576082184,127.333415427898,180,26.7037006561284,11
123.337106354316,127.207120471108,180,26.5300993345489,12
123.115482390982,127.081999973075,180,26.3575679525121,13
122.892734423896,126.958052149806,180,26.1861087632445,14
122.668860665091,126.835275260725,180,26.0157241948607,15
122.443859445976,126.71366760564,180,25.8464168490017,16
122.217729220206,126.593227521746,180,25.6781894994898,17
121.990468566557,126.473953380655,180,25.511045091,18
121.762076191837,126.355843585456,180,25.3449867377419,19
121.532550933795,126.238896567819,180,25.1800177221505,20
121.301891764061,126.123110785123,180,25.0161414935804,21
121.07009779109,126.008484717633,180,24.853361667,22
120.83716826312,125.895016865703,180,24.6916820216813,23
120.603102571145,125.782705747033,180,24.5311064998812,24
120.367900251889,125.671549893955,180,24.3716392055101,25
120.131560990793,125.561547850777,180,24.2132844027846,26
119.894084625004,125.452698171158,180,24.0560465148587,27
119.655471146367,125.344999415537,180,23.8999301224322,28
119.415720704422,125.238450148608,180,23.7449399623298,29
119.174833609393,125.133048936849,180,23.5910809260498,30
118.932810335179,125.02879434609,180,23.4383580582767,31
118.689651522343,124.925684939145,180,23.2867765553554,32
118.44535798108,124.823719273496,180,23.1363417637232,33
118.199930694192,124.722895899023,180,22.9870591782958,34
117.953370820042,124.623213355804,180,22.8389344408042,35
117.705679695488,124.524670171969,180,22.6919733380791,36
117.456858838816,124.427264861607,180,22.546181800279,37
117.206909952632,124.330995922751,180,22.4015658990597,38
116.955834926753,124.235861835412,180,22.2581318456805,39
116.703635841054,124.141861059691,180,22.1158859890451,40
116.450314968301,124.048992033954,180,21.9748348136733,41
116.195874776945,123.957253173076,180,21.8349849376004,42
115.940317933886,123.866642866763,180,21.6963431102021,43
115.683647307196,123.777159477945,180,21.5589162099399,44
115.425865968811,123.688801341244,180,21.4227112420265,45
115.16697719717,123.601566761527,180,21.2877353360064,46
114.906984479814,123.515454012534,180,21.1539957432499,47
114.645891515934,123.430461335594,180,21.0214998343571,48
114.383702218871,123.346586938422,180,20.8902550964707,49
114.120420718551,123.263828994006,180,20.7602691304933,50
113.85605136387,123.182185639586,180,20.6315496482089,51
113.590598725015,123.101654975716,180,20.5041044693056,52
113.324067595717,123.022235065431,180,20.3779415182983,53
113.056462995434,122.943923933493,180,20.2530688213501,54
112.787790171468,122.866719565752,180,20.1294945029924,55
112.518054601,122.790619908585,180,20.0072267827431,56
112.247261993048,122.71562286844,180,19.8862739716255,57
111.975418290339,122.641726311479,180,19.7666444685883,58
111.702529671103,122.568928063302,180,19.6483467568343,59
111.428602550766,122.497225908776,180,19.5313894000617,60
111.153643583557,122.426617591931,180,19.4157810386277,61
110.877659664016,122.357100815941,180,19.3015303856474,62
110.600657928399,122.28867324317,180,19.1886462230384,63
